Date,HCHO_Reading
2023-12-31,9.877086081592911e-05
2024-01-01,0.00010082982471571845
2024-01-02,0.00010091148512832028
2024-01-03,0.00010508052720096725
2024-01-04,0.0001030850626275823
2024-01-05,0.0001030850626275823
2024-01-06,0.0001030850626275823
2024-01-07,0.0001030850626275823
2024-01-08,0.0001030850626275823
2024-01-09,0.0001030850626275823
2024-01-10,0.0001030850626275823
2024-01-11,0.0001030850626275823
2024-01-12,0.0001030850626275823
2024-01-13,0.0001030850626275823
2024-01-14,0.0001030850626275823
2024-01-15,0.0001030850626275823
2024-01-16,0.0001030850626275823
2024-01-17,0.0001030850626275823
2024-01-18,0.0001030850626275823
2024-01-19,0.0001030850626275823
2024-01-20,0.0001030850626275823
2024-01-21,0.0001030850626275823
2024-01-22,0.0001030850626275823
2024-01-23,0.0001030850626275823
2024-01-24,0.0001030850626275823
2024-01-25,0.0001030850626275823
2024-01-26,0.0001030850626275823
2024-01-27,0.0001030850626275823
2024-01-28,0.0001030850626275823
2024-01-29,0.0001030850626275823
