Date,HCHO_Reading
2024-01-01,0.00010939415834092454
2024-01-02,0.00010939415834092454
2024-01-03,0.00010939415834092454
2024-01-04,0.00010939415834092454
2024-01-05,0.00010939415834092454
2024-01-06,0.00010939415834092454
2024-01-07,0.00010939415834092454
2024-01-08,0.00010939415834092454
2024-01-09,0.00010939415834092454
2024-01-10,0.00010939415834092454
2024-01-11,0.00010939415834092454
2024-01-12,0.00010939415834092454
2024-01-13,0.00010939415834092454
2024-01-14,0.00010939415834092454
2024-01-15,0.00010939415834092454
2024-01-16,0.00010939415834092454
2024-01-17,0.00010939415834092454
2024-01-18,0.00010939415834092454
2024-01-19,0.00010939415834092454
2024-01-20,0.00010939415834092454
2024-01-21,0.00010939415834092454
2024-01-22,0.00010939415834092454
2024-01-23,0.00010939415834092454
2024-01-24,0.00010939415834092454
2024-01-25,0.00010939415834092454
2024-01-26,0.00010939415834092454
2024-01-27,0.00010939415834092454
2024-01-28,0.00010939415834092454
2024-01-29,0.00010939415834092454
2024-01-30,0.00010939415834092454
